Bank,Year,Month,net_income,total_assets,equity,ROA,Leverage,ROE,classification,liquidity_ratio,deposit_diversity,deposit_view_to_plazo,coverage_ratio,leverage_ratio_extra,capitalization_ratio,adjusted_ROE
Banco  Aliado,2019,Abril,24213.91255,2714779.65481,279570.60075,0.008919292034290224,9.710533394881653,0.08661108315767713,High performance,0.1504542620346886,8.868566060818223,0.09710804903934554,0.007338733371568113,2.38331089950988,0.10298095473592546,0.08703882243161415
Banco  Aliado,2019,Agosto,4163.91556,2886364.8259,376802.90956,0.001442615819953268,7.660144740576615,0.011050645985887647,Low performance,0.15843951457946107,8.93045132577507,0.09174448717402822,0.007541871450444102,2.1220315141507107,0.13054583612537918,0.011105853194824114
Banco  Aliado,2019,Diciembre,9189.33753,2938205.57551,379907.8103,0.0031275338957196547,7.733996237639339,0.024188335382585312,Medium performance,0.1426357030686034,9.287545096939146,0.08470491424358692,0.006878607568020691,2.231854006213886,0.12929926124521,0.02429289327496361
Banco  Aliado,2019,Enero,16827.06304,2715253.79832,272466.91027999995,0.006197233956697291,9.965444227813485,0.06175818936217874,High performance,0.14513985880344804,8.451256664246786,0.12917352452568043,0.007448969485520942,2.367145453652333,0.10034675596387435,0.062056804908374834
Banco  Aliado,2019,Febrero,19555.64731,2686885.53616,275371.0314,0.0072781839966090354,9.757328221853042,0.07101563011395251,High performance,0.14135051017122705,8.732220752743148,0.10239886178645839,0.0073308383673325065,2.339213123889981,0.10248707199992982,0.07135179573223172
Banco  Aliado,2019,Julio,2406.17418,2715520.53259,291396.1174,0.0008860821161624756,9.319000393071127,0.008257399588811406,Low performance,0.16617081476866097,9.511696419621336,0.08593545792785141,0.007445948150504275,2.363189844821179,0.10730764650933175,0.008298352025228021
Banco  Aliado,2019,Junio,28852.34844,2785689.16061,290161.46953,0.010357346701841644,9.600479226694796,0.09943549185470656,High performance,0.1649589487877271,8.542176622593367,0.09424842060235021,0.007090770466671963,2.358788640368518,0.10416146698379711,0.09989987595720545
Banco  Aliado,2019,Marzo,22238.37036,2729436.84377,277595.54021,0.008147603931836552,9.832423250406658,0.08011069033449442,High performance,0.15138525583755533,8.621783420851768,0.097668550731076,0.00728227102747894,2.4240317950387578,0.10170432807178446,0.08049012694968836
Banco  Aliado,2019,Mayo,27100.68607,2749171.35533,282570.36091,0.00985776532898108,9.729156824786816,0.09590774482760313,High performance,0.15411922952339815,9.728310715016782,0.09747391415053189,0.007182673624634148,2.403272708584941,0.10278382988465312,0.09636149975820418
Banco  Aliado,2019,Noviembre,7785.53738,2907843.12988,378967.80756,0.0026774268873029925,7.673061067118785,0.020544060009021627,Medium performance,0.16638031446500598,8.378782404374304,0.07536014550749519,0.0073255355538640494,2.239862191976843,0.13032608384745953,0.02064148769613269
Banco  Aliado,2019,Octubre,7259.55027,2928397.37566,379319.30342,0.0024790181586485842,7.7201380189648345,0.019138362336287133,Medium performance,0.16678161417037585,8.134048121265788,0.07993532667579692,0.007139812492934128,2.248359326352788,0.12953136298126525,0.019224771316153265
Banco  Aliado,2019,Septiembre,6261.16261,2921585.80085,378192.47589,0.00214306990682197,7.72512936428636,0.016555492266908833,Medium performance,0.18070857592355238,8.221755898554088,0.07452427044932629,0.007316838025491332,2.277808575600956,0.12944767043294414,0.016628713740470705
Banco  Aliado,2020,Abril,13187.28386,4084913.90801,377831.53952000005,0.0032282892998409104,10.811468818086242,0.03490254910099147,Medium performance,0.1337817671258566,15.665241433358517,0.10281408410833354,0.00991451292567959,2.796806580552981,0.09249437026790704,0.03518135624260245
Banco  Aliado,2020,Agosto,4491.68626,4017298.45375,385446.29847000004,0.0011180862740748517,10.422459548052123,0.01165320896277746,Medium performance,0.12983442289102248,15.818863492978016,0.10147558112768008,0.007934685895981869,2.590724764782562,0.09594664247815597,0.01172662281333224
Banco  Aliado,2020,Diciembre,11949.60187,4025573.71927,378716.06127999997,0.0029684220693310145,10.629529958840937,0.03155293131643863,Medium performance,0.1577034465944157,16.297994716937005,0.10833134577206632,0.014166643487075947,2.3806487241464485,0.09407753718858156,0.031948739599984476
Banco  Aliado,2020,Enero,9818.36813,2963101.79293,380647.91524,0.0033135439873941412,7.784363644975574,0.025793831351498354,Medium performance,0.1532578999682571,10.444542686444793,0.09416197541684639,0.007100795831495778,2.2151716346807233,0.1284626522612996,0.025910096390378178
Banco  Aliado,2020,Febrero,10035.93663,2984017.10553,376705.05374999996,0.003363230261449017,7.9213620200336905,0.026641364457670222,Medium performance,0.15070555940188657,10.985896003292591,0.0885412499002978,0.007171114845742755,2.293066653874165,0.1262409163311724,0.026763880157702685
Banco  Aliado,2020,Julio,2164.91587,4009214.43952,385115.0702000001,0.0005399850525977834,10.410432490834266,0.005621477936128815,Low performance,0.13180470019136953,15.79318307337087,0.0992134728652555,0.0075685014759554895,2.5974271171484262,0.09605748857028153,0.005654666530686021
Banco  Aliado,2020,Junio,17840.24712,4080326.92377,382194.58167,0.004372259246206817,10.676045970984214,0.04667844070956476,Medium performance,0.13838304593298675,13.902479886288152,0.10419970502073692,0.007396526389315444,2.7435600872420918,0.0936676371306231,0.04694698667686801
Banco  Aliado,2020,Marzo,13976.68215,4127402.69084,377557.71049,0.0033863141536973453,10.93184585075324,0.03701866433044329,Medium performance,0.13876430357541797,16.171413373707434,0.1094224450108562,0.009192249218930564,2.8738755861767484,0.09147585994647892,0.03728333968257223
